X;Y;gid;nom;lat_coor1;long_coor1;adr_num;adr_voie;com_cp;com_insee;com_nom;acc;acc_lib;acc_pcsec;acc_acc;acc_etg;acc_complt;photo1;photo2;disp_j;disp_h;disp_complt;tel1;tel2;site_email;date_instal;etat_fonct;fab_siren;fab_rais;mnt_siren;mnt_rais;modele;num_serie;id_euro;lc_ped;dtpr_lcped;dtpr_lcad;dtpr_bat;freq_mnt;dispsurv;dermnt;expt_siren;expt_rais;expt_tel1;expt_tel2;expt_email
9.4430548;42.705957900527;;;42.705957900527;9.4430548;;;;2B033;Bastia;Intérieur;non;;;0;Placé à l'accueil à l'entrée du magasin;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
9.2671767;42.3143360005073;;;42.3143360005073;9.2671767;;;;2B275;Sermano;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
8.6659308;41.9770445004845;;;41.9770445004845;8.6659308;;;;2A351;Villanova;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
8.7986575;41.7285911004645;;;41.7285911004645;8.7986575;;;;2A276;Serra-di-Ferro;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
8.7937583;41.7072982004627;;;41.7072982004627;8.7937583;;;;2A276;Serra-di-Ferro;Extérieur;oui;;;;exterieur de la capitainerie;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;Aivia;;;
9.0702646;41.7062955004626;;;41.7062955004626;9.0702646;;;;2A011;Altagène;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
9.4040963;42.0167898004875;;;42.0167898004875;9.4040963;;;;2B123;Ghisonaccia;Intérieur;oui;;;0;Situé à un metre à droite de l'entrée Nord de la salle des fêtes. La salle est au rez-de-chaussée de la mairie.;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;Mairie;;;
9.408909;42.0190657004876;;;42.0190657004876;9.408909;;;;2B123;Ghisonaccia;Intérieur;non;;;0;À l'entrée du magasin;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;GiFi;;;
9.4016513;42.0192831004877;;;42.0192831004877;9.4016513;;;;2B123;Ghisonaccia;Intérieur;oui;;;0;Situé dans en face de l'entrée principale.;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;Mairie;;;
9.363653;41.9871841004853;;;41.9871841004853;9.363653;;;;2B277;Serra-di-Fiumorbo;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
9.3368356;41.9858605004852;;;41.9858605004852;9.3368356;;;;2B277;Serra-di-Fiumorbo;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
9.1711363;41.7505124004664;;;41.7505124004664;9.1711363;;;;2A362;Zonza;Extérieur;oui;;;;Fixé au mur du musée de la résistance;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;Communauté de communes;;;
8.9177858;41.6678568004592;;;41.6678568004592;8.9177858;;;;2A249;Propriano;Intérieur;non;;;0;À l'entrée du magasin;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;GiFi;;;
3.1293433;42.4811925005166;;Banyuls Sur Mer 1;42.4811925005166;3.1293433;;;;66016;Banyuls-sur-Mer;Extérieur;oui;non;non;;sur le côté de la mairie;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
2.954891;42.5315281005192;;;42.5315281005192;2.954891;;;;66196;Sorède;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
2.9577809;42.5152436005184;;;42.5152436005184;2.9577809;;;;66196;Sorède;Intérieur;;;;;après l'accueil;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.3891424;42.7912396005302;;;42.7912396005302;0.3891424;;;;65195;Génos;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
0.3208178;42.8156223005311;;;42.8156223005311;0.3208178;;;;65388;Saint-Lary-Soulan;Intérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.82331;42.5260685005189;;;42.5260685005189;1.82331;;;;66146;Porta;Extérieur;oui;;;;;;;7j/7;24h/24;;;;;;Inconnu;;;;;;;;;;;;;;;;Conseil départemental des Pyrénées-Orientales;;;
0.3884283;43.1038066005388;;;43.1038066005388;0.3884283;;;;65258;Lannemezan;Intérieur;non;;;0;À l'entrée du magasin;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;GiFi;;;
1.0013507;43.1974163005403;;;43.1974163005404;1.0013507;;;;31324;Martres-Tolosane;Intérieur;non;;;0;À l'entrée du magasin;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;GiFi;;;
2.0958629;42.6238582005235;;;42.6238582005235;2.0958629;;;;66081;Fontrabiouse;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
2.0727905;42.5775034005214;;;42.5775034005214;2.0727905;;;;66004;Les Angles;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
2.1029104;42.6139873005231;;;42.6139873005231;2.1029104;;;;66082;Formiguères;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
2.006713;42.9821989005361;;;42.9821989005361;2.006713;;;;11091;Chalabre;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.6837565;43.3902634005419;;;43.3902634005419;1.6837565;;;;31210;Gardouch;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.4777588;43.3524491005418;;;43.3524491005418;1.4777588;;;;31033;Auterive;Intérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.4805373;43.3424455005417;;;43.3424455005417;1.4805373;;;;31033;Auterive;Extérieur;oui;;;;Entree salle de tennis;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.4728342;43.3485264005418;;;43.3485264005418;1.4728342;;;;31033;Auterive;Intérieur;;;;;Contre le mur;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.466537;43.3568623005418;;;43.3568623005418;1.466537;;;;31033;Auterive;Intérieur;non;;;0;À l'entrée du magasin;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;GiFi;;;
1.3463345;43.2762447005412;;;43.2762447005413;1.3463345;;;;09167;Lézat-sur-Lèze;Extérieur;;;;;Secrétariat de la marie;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.3466004;43.2822452005413;;;43.2822452005413;1.3466004;;;;09167;Lézat-sur-Lèze;Intérieur;non;;;0;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.4202781;43.3715559005419;;;43.3715559005419;1.4202781;;;;31345;Miremont;Intérieur;non;;;;Entree;;;;;Mo-Fr 09:00-19:00;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.3023889;43.755174700539;;;43.755174700539;1.3023889;;;;31232;Grenade;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.3595331;43.8109816005379;;;43.8109816005379;1.3595331;;;;31118;Castelnau-d'Estrétefonds;Intérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
1.7585254;43.5291402005418;;;43.5291402005418;1.7585254;;;;31106;Caraman;Extérieur;;;;;;;;;;;;;;;Inconnu;;;;;;;;;;;;;;;;;;;
